start	end	lat	lon	lat	lon	name
7049334377	36321777	-5010115.51	876853.33	-5010131.05	876931.54	Bismarckstraße
242705213	1832917956	-5008913.56	877483.66	-5008914.649999999	877460.35	Rheinstraße
5408042729	1833458840	-5010704.08	877172.47	-5010704.0	877177.1599999999	Mainstraße
773137717	5408042729	-5010703.89	877136.58	-5010704.08	877172.47	Mainstraße
33779507	773137717	-5010705.83	877058.51	-5010703.89	877136.58	Mainstraße
1833458874	33779507	-5010708.71	877024.77	-5010705.83	877058.51	Mainstraße
1833458880	1833458874	-5010711.59	877003.47	-5010708.71	877024.77	Mainstraße
773137711	1833458880	-5010713.63	876988.37	-5010711.59	877003.47	Mainstraße
2861507170	773137711	-5010720.07	876945.3800000001	-5010713.63	876988.37	Mainstraße
2551541777	2861507170	-5010722.12	876933.9199999999	-5010720.07	876945.3800000001	Mainstraße
1833458944	2551541777	-5010726.87	876907.4500000001	-5010722.12	876933.9199999999	Mainstraße
1833458992	1833458944	-5010729.99	876889.84	-5010726.87	876907.4500000001	Mainstraße
893970793	1839941733	-5009472.62	876224.2799999999	-5009480.37	876226.58	Senefelderstraße
145791075	893970793	-5009449.3	876218.42	-5009472.62	876224.2799999999	Senefelderstraße
1854322698	1854322704	-5008407.069999999	874989.01	-5008448.05	874903.5299999999	Georg-Büchner-Weg
2032691747	1854322698	-5008405.55	874992.78	-5008407.069999999	874989.01	Georg-Büchner-Weg
1854322695	2032691747	-5008404.62	874995.2499999999	-5008405.55	874992.78	Georg-Büchner-Weg
2032691739	1854322695	-5008403.88	875000.02	-5008404.62	874995.2499999999	Georg-Büchner-Weg
2032691737	2032691739	-5008403.58	875004.6100000001	-5008403.88	875000.02	Georg-Büchner-Weg
1854322697	2032691737	-5008401.98	875038.5599999999	-5008403.58	875004.6100000001	Georg-Büchner-Weg
2032691734	1854322697	-5008401.71	875041.3	-5008401.98	875038.5599999999	Georg-Büchner-Weg
2032691732	2032691734	-5008401.340000001	875043.61	-5008401.71	875041.3	Georg-Büchner-Weg
2032691730	2032691732	-5008400.720000001	875045.5	-5008401.340000001	875043.61	Georg-Büchner-Weg
1854322693	2032691730	-5008399.99	875047.0800000001	-5008400.720000001	875045.5	Georg-Büchner-Weg
2032691727	1854322693	-5008384.63	875076.47	-5008399.99	875047.0800000001	Georg-Büchner-Weg
2032691725	2032691727	-5008381.94	875080.44	-5008384.63	875076.47	Georg-Büchner-Weg
2032691723	2032691725	-5008379.25	875082.84	-5008381.94	875080.44	Georg-Büchner-Weg
2032691721	2032691723	-5008376.37	875084.7500000001	-5008379.25	875082.84	Georg-Büchner-Weg
1854322692	2032691721	-5008372.22	875086.58	-5008376.37	875084.7500000001	Georg-Büchner-Weg
1854322691	1854322692	-5008354.8	875094.3400000001	-5008372.22	875086.58	Georg-Büchner-Weg
2100990591	1854322691	-5008353.04	875095.3600000001	-5008354.8	875094.3400000001	Georg-Büchner-Weg
2032691712	2100990591	-5008351.88	875096.2899999999	-5008353.04	875095.3600000001	Georg-Büchner-Weg
2100990581	2032691712	-5008350.46	875098.22	-5008351.88	875096.2899999999	Georg-Büchner-Weg
2032691710	2100990581	-5008349.640000001	875099.8900000001	-5008350.46	875098.22	Georg-Büchner-Weg
2100990569	2032691710	-5008348.53	875102.53	-5008349.640000001	875099.8900000001	Georg-Büchner-Weg
2032691708	2100990569	-5008347.87	875104.92	-5008348.53	875102.53	Georg-Büchner-Weg
2032691704	2032691708	-5008347.12	875109.2999999999	-5008347.87	875104.92	Georg-Büchner-Weg
1854322687	2032691704	-5008346.7	875114.61	-5008347.12	875109.2999999999	Georg-Büchner-Weg
